filename|file_date
BDA 2015 10 13.txt|2015-10-13
BDA 2014 8 26.txt|2014-08-26
BDA 2015 8 26.txt|2015-08-26
BDA 2017 5 21.txt|2017-05-21
BDA 2017 2 28.txt|2017-02-28
BDA 2013 12 11.txt|2013-12-11
BDA 2016 2 14.txt|2016-02-14
BDA 2017 5 09.txt|2017-05-09
BDA 2020 12 17.txt|2020-12-17
BDA 2022 2 02.txt|2022-02-02
BDA 2022 2 16.txt|2022-02-16
BDA 2020 12 02.txt|2020-12-02
BDA 2022 5 22.txt|2022-05-22
BDA 2016 10 26.txt|2016-10-26
BDA 2017 11 05.txt|2017-11-05
BDA 2020 12 16.txt|2020-12-16
BDA 2017 2 01.txt|2017-02-01
BDA 2013 12 04.txt|2013-12-04
BDA 2017 2 15.txt|2017-02-15
BDA 2016 5 08.txt|2016-05-08
BDA 2014 11 19.txt|2014-11-19
BDA 2014 8 27.txt|2014-08-27
BDA 2014 6 22.txt|2014-06-22
BDA 2015 10 06.txt|2015-10-06
BDA 2020 1 15.txt|2020-01-15
BDA 2021 8 25.txt|2021-08-25
BDA 2019 9 01.txt|2019-09-01
BDA 2019 9 15.txt|2019-09-15
BDA 2020 1 01.txt|2020-01-01
BDA 2020 1 29.txt|2020-01-29
BDA 2019 9 29.txt|2019-09-29
BDA 2020 8 19.txt|2020-08-19
BDA 2018 7 10.txt|2018-07-10
BDA 2014 3 12.txt|2014-03-12
BDA 2014 4 27.txt|2014-04-27
BDA 2018 5 29.txt|2018-05-29
BDA 2020 3 04.txt|2020-03-04
BDA 2018 2 20.txt|2018-02-20
BDA 2020 4 25.txt|2020-04-25
BDA 2019 5 15.txt|2019-05-15
BDA 2018 5 01.txt|2018-05-01
BDA 2019 5 01.txt|2019-05-01
BDA 2022 7 27.txt|2022-07-27
BDA 2020 10 07.txt|2020-10-07
BDA 2021 11 24.txt|2021-11-24
BDA 2017 9 20.txt|2017-09-20
BDA 2017 7 19.txt|2017-07-19
BDA 2016 7 31.txt|2016-07-31
BDA 2017 7 25.txt|2017-07-25
BDA 2016 7 27.txt|2016-07-27
BDA 2016 12 21.txt|2016-12-21
BDA 2022 7 31.txt|2022-07-31
BDA 2023 9 20.txt|2023-09-20
BDA 2022 7 19.txt|2022-07-19
BDA 2019 2 22.txt|2019-02-22
BDA 2018 12 16.txt|2018-12-16
BDA 2021 3 06.txt|2021-03-06
BDA 2018 12 02.txt|2018-12-02
BDA 2015 12 15.txt|2015-12-15
BDA 2022 11 06.txt|2022-11-06
BDA 2023 10 25.txt|2023-10-25
BDA 2015 4 19.txt|2015-04-19
BDA 2021 1 03.txt|2021-01-03
BDA 2018 9 17.txt|2018-09-17
BDA 2021 1 17.txt|2021-01-17
BDA 2019 9 17.txt|2019-09-17
BDA 2018 10 07.txt|2018-10-07
BDA 2015 8 19.txt|2015-08-19
BDA 2015 10 10.txt|2015-10-10
BDA 2014 1 29.txt|2014-01-29
BDA 2023 12 20.txt|2023-12-20
BDA 2015 10 04.txt|2015-10-04
BDA 2014 8 31.txt|2014-08-31
BDA 2014 6 08.txt|2014-06-08
BDA 2014 1 01.txt|2014-01-01
BDA 2016 5 22.txt|2016-05-22
BDA 2016 2 17.txt|2016-02-17
BDA 2016 10 24.txt|2016-10-24
BDA 2016 10 30.txt|2016-10-30
BDA 2017 11 07.txt|2017-11-07
BDA 2023 2 01.txt|2023-02-01
BDA 2023 2 15.txt|2023-02-15
BDA 2022 5 08.txt|2022-05-08
BDA 2016 10 19.txt|2016-10-19
BDA 2023 5 21.txt|2023-05-21
BDA 2013 12 13.txt|2013-12-13
BDA 2017 5 23.txt|2017-05-23
BDA 2015 1 14.txt|2015-01-14
BDA 2014 8 24.txt|2014-08-24
BDA 2015 8 30.txt|2015-08-30
BDA 2015 1 28.txt|2015-01-28
BDA 2015 6 21.txt|2015-06-21
BDA 2015 10 11.txt|2015-10-11
BDA 2015 8 18.txt|2015-08-18
BDA 2018 9 02.txt|2018-09-02
BDA 2020 8 26.txt|2020-08-26
BDA 2021 1 16.txt|2021-01-16
BDA 2021 1 02.txt|2021-01-02
BDA 2018 9 16.txt|2018-09-16
BDA 2023 10 18.txt|2023-10-18
BDA 2014 3 05.txt|2014-03-05
BDA 2022 11 13.txt|2022-11-13
BDA 2014 4 30.txt|2014-04-30
BDA 2022 9 21.txt|2022-09-21
BDA 2021 11 27.txt|2021-11-27
BDA 2020 10 10.txt|2020-10-10
BDA 2022 7 24.txt|2022-07-24
BDA 2017 9 23.txt|2017-09-23
BDA 2017 7 26.txt|2017-07-26
BDA 2017 9 06.txt|2017-09-06
BDA 2017 9 12.txt|2017-09-12
BDA 2016 7 03.txt|2016-07-03
BDA 2016 7 17.txt|2016-07-17
BDA 2023 7 29.txt|2023-07-29
BDA 2023 9 10.txt|2023-09-10
BDA 2022 9 04.txt|2022-09-04
BDA 2020 10 21.txt|2020-10-21
BDA 2016 12 11.txt|2016-12-11
BDA 2019 2 06.txt|2019-02-06
BDA 2019 2 12.txt|2019-02-12
BDA 2018 2 06.txt|2018-02-06
BDA 2018 12 26.txt|2018-12-26
BDA 2021 4 17.txt|2021-04-17
